"stdist","st","party","pid","full.name","incumbent","crp.id","npat.id","score","sd","perc","perc.r","perc.d"
"FL10","FL","R",1,"Daniel Webster",0,"N00026335",24302,0.71,0.36,75.5,52.8,0.299999999999997
"FL11","FL","D",-1,"H. Werder",0,"N00025749",31038,0.16,0.08,52.3,9.3,1.3
"FL11","FL","R",1,"Richard Nugent",0,"N00032441",124333,0.55,0.25,67.4,37.3,0.5
"FL12","FL","D",-1,"Jonathan Snow",0,"N00033803",137641,-0.87,0.38,23.4,0,51.1
"FL12","FL","R",1,"Gus Bilirakis",0,"N00027462",17318,1.42,0.8,90.4,81.3,0
"FL13","FL","D",-1,"Jessica Ehrlich",0,"N00034014",137644,-1.26,0.75,15.9,0,66.8
"FL13","FL","R",1,"Charles Young",0,"N00001817",26802,0.42,0.21,62.6,28,0.5
"FL14","FL","D",-1,"Kathy Castor",0,"N00027514",53825,-1.44,0.81,8,0,83.2
"FL14","FL","R",1,"Evelio Otero",0,"N00033598",137648,0.58,0.24,69.4,41,0.299999999999997
"FL15","FL","R",1,"Dennis Ross",0,"N00030645",12813,1.67,0.95,98.6,97.3,0
"FL16","FL","D",-1,"Keith Fitzgerald",0,"N00033599",68136,-1.13,0.86,19.2,0,59.8
"FL16","FL","R",1,"Vern Buchanan",0,"N00027626",66247,0.7,0.39,74.7,51.4,0.299999999999997
"FL17","FL","D",-1,"William Bronson",0,"N00002517",140358,-0.54,0.23,31.9,0,33.5
"FL17","FL","R",1,"Thomas Rooney",0,"N00029018",107800,0.65,0.3,73,47.9,0.299999999999997
"FL18","FL","D",-1,"Patrick Murphy",0,"N00033091",137652,-1.42,0.69,9.8,0,79.5
"FL18","FL","R",1,"Allen West",0,"N00029131",124348,0.78,0.37,78.2,58,0.299999999999997
"FL19","FL","D",-1,"James Roach",0,"N00031368",117740,-0.28,0.08,40.6,0.2,15.7
"FL19","FL","R",1,"Trey Radel",0,"N00034017",137658,1.17,0.71,83.1,67.6,0.299999999999997
"FL2","FL","D",-1,"Alfred Lawson",0,"N00030642",24263,-1.32,0.8,14.2,0,70.2
"FL2","FL","R",1,"William Southerland",1,"N00031204",124329,1.67,0.8,98.6,97.3,0
"FL20","FL","D",-1,"Alcee Hastings",0,"N00002884",26798,-0.83,0.14,24.4,0,48.9
"FL21","FL","D",-1,"Theodore Deutch",0,"N00031317",67151,-0.89,0.45,22.8,0,52.1
"FL22","FL","D",-1,"Lois Frankel",0,"N00002893",8102,-0.99,0.24,21.2,0,55.6
"FL22","FL","R",1,"Adam Hasner",0,"N00033166",31241,1.56,0.85,94.7,89.7,0
"FL23","FL","D",-1,"Debbie Wasserman Schultz",0,"N00026106",24301,-0.64,0.11,29.3,0,38.8
"FL23","FL","R",1,"Karen Harrington",0,"N00031606",124346,0.73,0.13,76.1,54.1,0.299999999999997
"FL24","FL","D",-1,"Frederica Wilson",0,"N00030650",17319,-1.25,0.32,16.1,0,66.2
"FL25","FL","R",1,"Mario Diaz-Balart",0,"N00025337",24312,0.22,0.13,54.7,12.8,0.5
"FL26","FL","D",-1,"Joe Garcia",0,"N00029908",124355,-1.5,0.89,5.8,0,87.8
"FL26","FL","R",1,"David Rivera",0,"N00031887",31234,0.47,0.22,64.2,31.2,0.5
"FL27","FL","R",1,"Ileana Ros-Lehtinen",0,"N00002858",26815,0.14,0.11,51,7.4,1.90000000000001
"FL3","FL","D",-1,"Jacques Gaillot",0,"N00034398",137623,-0.69,0.26,28.2,0,41
"FL3","FL","R",1,"Theodore Yoho",0,"N00033220",137622,0.43,0.19,63.1,29,0.5
"FL4","FL","R",1,"Ander Crenshaw",1,"N00012739",31130,0.8,0.13,79.7,60.9,0.299999999999997
"FL5","FL","D",-1,"Corrine Brown",0,"N00002713",26797,-0.68,0.11,28.3,0,40.7
"FL5","FL","R",1,"LeAnne Kolb",0,"N00032229",137627,1.74,0.84,99.4,98.8,0
"FL6","FL","D",-1,"Heather Beaven",0,"N00030921",117030,-0.42,0.09,37.1,0,22.9
"FL6","FL","R",1,"Ron DeSantis",0,"N00034746",137630,1.37,0.65,88.3,77.4,0
"FL7","FL","D",-1,"Jason Kendall",0,"N00034394",137632,-0.09,0.13,45.6,1.2,6.59999999999999
"FL7","FL","R",1,"John Mica",1,"N00002793",26805,0.4,0.07,60.9,24.8,0.5
"FL8","FL","D",-1,"Shannon Roberts",0,"N00031212",117218,-0.4,0.16,37.4,0,22.1
"FL8","FL","R",1,"Bill Posey",0,"N00029662",24280,0.32,0.11,57.6,18.4,0.5
"FL9","FL","D",-1,"Alan Grayson",0,"N00028418",68184,-1.46,0.69,7.2,0,84.8
"FL9","FL","R",1,"William Long",0,"N00028925",117162,0.68,0.13,74.1,50.1,0.299999999999997
"GA1","GA","D",-1,"Lesli Messinger",0,"N00034840",140201,-1.27,0.83,15.7,0,67
"GA1","GA","R",1,"Jack Kingston",1,"N00002656",26816,0.36,0.08,59,21.1,0.5
"GA10","GA","R",1,"Paul Broun",1,"N00028986",70001,1.15,0.22,82.5,66.3,0.299999999999997
"GA11","GA","D",-1,"J. Thompson",0,"N00034843",122649,-0.48,0.12,34.6,0,27.9
"GA11","GA","R",1,"Phil Gingrey",1,"N00024760",17644,0.21,0.09,54.3,12,0.5
"GA12","GA","D",-1,"John Barrow",1,"N00026080",31780,0.05,0.11,48.9,3.7,2.40000000000001
"GA12","GA","R",1,"Lee Anderson",0,"N00033519",84624,0.79,0.37,79.1,59.7,0.299999999999997
"GA13","GA","D",-1,"David Scott",1,"N00024871",7826,-0.29,0.13,40.5,0.2,16
"GA13","GA","R",1,"S. Malik",0,"N00034859",140217,1.27,0.82,85.5,72,0
"GA14","GA","R",1,"Tom Graves",0,"N00030788",31969,1.42,0.7,90.4,81.3,0
"GA2","GA","D",-1,"Sanford Bishop",1,"N00002674",26817,-0.12,0.07,45.1,1,7.40000000000001
"GA2","GA","R",1,"John House",0,"N00034022",136041,0.24,0.13,55.2,13.8,0.5
"GA3","GA","R",1,"Lynn Westmoreland",1,"N00026163",8001,0.95,0.2,81.3,64.1,0.299999999999997
"GA4","GA","D",-1,"Henry Johnson",1,"N00027848",68070,-0.83,0.37,24.4,0,48.9
"GA4","GA","R",1,"J. Vaughn",0,"N00034759",136046,1.48,0.85,92.4,85.3,0
"GA5","GA","D",-1,"John Lewis",1,"N00002577",26820,-1.02,0.18,20.4,0,57.2
"GA5","GA","R",1,"Howard Stopeck",0,"N00023434",136048,0.03,0.22,48.4,3.2,2.90000000000001
"GA6","GA","D",-1,"Jeff Kazanow",0,"N00034836",140206,-0.81,0.33,24.7,0,48.1
"GA6","GA","R",1,"Thomas Price",1,"N00026160",11853,0.39,0.13,60.3,23.6,0.5
"GA7","GA","D",-1,"Steven Reilly",0,"N00034783",140208,-0.88,0.38,23.1,0,51.6
"GA7","GA","R",1,"Rob Woodall",1,"N00032416",122251,0.78,0.38,78.2,58,0.299999999999997
"GA8","GA","R",1,"James Scott",1,"N00032457",11812,0.47,0.16,64.2,31.2,0.5
"GA9","GA","D",-1,"Jody Cooley",0,"N00034861",140210,-1.41,0.93,10.5,0,77.9
"GA9","GA","R",1,"Douglas Collins",0,"N00033518",67851,1.41,0.58,90.1,80.8,0
"HI1","HI","D",-1,"Colleen Hanabusa",1,"N00025881",17745,-0.8,0.21,25,0,47.6
"HI1","HI","R",1,"Charles Djou",0,"N00029460",17827,0.15,0.1,51.5,8.1,1.59999999999999
"HI2","HI","D",-1,"Tulsi Gabbard",0,"N00033281",129306,-1.6,0.93,3.2,0,93.4
"HI2","HI","R",1,"Kawika Crowley",0,"N00034882",140353,1.38,0.74,89,78.6,0
"IA1","IA","D",-1,"Bruce Braley",1,"N00027464",57382,-1.22,0.62,16.8,0,64.9
"IA1","IA","R",1,"Benjamin Lange",0,"N00031610",121992,0.61,0.3,70.9,44,0.299999999999997
"IA2","IA","D",-1,"David Loebsack",1,"N00027741",68964,-0.76,0.15,26.1,0,45.2
"IA2","IA","R",1,"John Archer",0,"N00033385",128056,0.36,0.2,59,21.1,0.5
"IA3","IA","D",-1,"Leonard Boswell",1,"N00004208",384,-0.3,0.08,40.1,0.2,16.8
"IA3","IA","R",1,"Thomas Latham",0,"N00004227",22175,0.45,0.08,63.6,30,0.5
"IA4","IA","D",-1,"Christie Vilsack",0,"N00033099",135717,-0.99,0.63,21.2,0,55.6
"IA4","IA","R",1,"Steve King",0,"N00025237",10853,0.52,0.22,66.2,35.1,0.5
"ID1","ID","D",-1,"Jimmy Farris",0,"N00033607",135863,-0.53,0.22,32.4,0,32.4
"ID1","ID","R",1,"Ra̼l Labrador",1,"N00031377",57391,0.69,0.28,74.4,50.6,0.299999999999997
"ID2","ID","D",-1,"Nicole LeFavour",0,"N00034508",33165,-0.65,0.13,29.1,0,39.4
